   925   917   916  1864
   917  1851   916  1864
   925  1864  1852   917
  1864  1851  1852   917
  1716   811   812   848
  1759  1716   812   848
   811  1716  1758   848
  1716  1759  1758   848
  1758   847   811   848
   847  1758  1794   848
  1758  1759  1794   848
   919  1845  1846   903
  1845  1823  1846   903
   902  1822  1845   903
  1822  1823  1845   903
  1795   878   903  1822
   878   902   903  1822
   877  1794  1822   878
  1794  1795  1822   878
  1759   848   878  1794
   848   877   878  1794
   877   848   847  1794
  1795  1794  1759   878
   902   878   877  1822
  1823  1822  1795   903
   919   903   902  1845
  1863  1870   933   928
  1870   932   933   928
  1863  1864  1870   928
  1864   925  1870   928
   925   916   928  1864
   916  1850   928  1864
  1850  1851  1864   916
  1863   928  1850  1864
   932  1870   925   928
  1850  1830  1851   916
  1830   899  1851   916
  1850   916   898  1830
   916   899   898  1830
   917   899   916  1851
   321   407   408  1324
   407  1404   408  1324
  1404  1323  1324   407
  1323   320  1324   407
  1403  1404   407  1323
  1403   407   320  1323
  1324   320   321   407
   876   877   847  1794
   876   847  1758  1794
  1423  1424  1495   540
  1424   506  1495   540
   467   506  1424   540
   467  1424  1423   540
  1636   711   739  1635
   711   710   739  1635
   710   711   652  1635
   711  1636   652  1635
     3  1020     4   208
  1020  1070     4   208
  1874   934   208  1020
   934     3   208  1020
  1881  1874  1020   934
  1881  1020     3   934
  1070  1020  1874   208
   917   900   899  1851
   899   900  1830  1851
  1833   890  1834  1852
   890   910  1834  1852
   917  1851  1852   890
  1851  1833  1852   890
  1831   900   890  1851
   900   917   890  1851
  1851  1830  1831   900
  1831   890  1833  1851
   910   890   917  1852
   798   752   797  1724
   752  1677   797  1724
   753  1677   752  1724
   753   752   798  1724
   710   762   739  1635
   762  1687   739  1635
   709  1687   762  1635
   709   762   710  1635
   322   408   368  1325
   408  1405   368  1325
  1405  1324  1325   408
  1325  1324   322   408
  1688  1635  1636   739
  1688  1687  1635   739
   321   408   322  1324
  1405  1404  1324   408
  1284   326  1285  1367
   326   410  1285  1367
   409  1366  1367   326
  1366  1284  1367   326
  1284  1366  1283   326
  1366   409  1283   326
   326   409   410  1367
   608  1494  1495   540
  1494  1423  1495   540
   539   608   540  1494
   539   540  1423  1494
   897  1828  1802   871
  1828  1801  1802   871
  1801  1828  1827   871
  1828   897  1827   871
  1767   838   871  1800
   838   870   871  1800
  1767   837   838  1800
   838   837   870  1800
  1815   856  1816  1840
   856   884  1816  1840
  1815  1840  1839   856
  1840   884  1839   856
  1019    55  1018  1071
    55   159  1018  1071
   934  1874  1071    55
  1874  1019  1071    55
  1879  1019  1874    55
  1879  1874   934    55
   159    55   934  1071
  1840   884   906  1839
   884   883   906  1839
   856   883   884  1839
   883   856   855  1839
   856  1815   855  1839
   924   929   919  1860
   929  1861   919  1860
  1861  1868  1860   929
  1868   931  1860   929
   931  1869   929  1868
   929  1869  1861  1868
   924   931   929  1860
  1303  1214  1304   345
  1214   255  1304   345
   255  1214   254   345
  1214  1303   254   345
   575  1528  1529   505
  1528  1459  1529   505
   575   504  1528   505
  1528   504  1459   505
  1302   344   254  1303
   344   345   254  1303
  1385  1302  1303   344
  1385  1303   345   344
  1780  1811   832   867
   833  1780   832   867
  1811  1780  1812   867
  1780   833  1812   867
  1837  1812  1838   894
  1812   868  1838   894
   868   867   894  1812
   867  1811   894  1812
   833   867   868  1812
